,date,ticker,variable,value
169,2018-02-20,NFLX,open,277.74
170,2018-02-21,AAPL,open,170.2377
171,2018-02-21,AMZN,open,1485.0
172,2018-02-21,FB,open,176.71
173,2018-02-21,GOOG,open,1106.47
174,2018-02-21,NFLX,open,282.07
175,2018-02-22,AAPL,open,169.2232
176,2018-02-22,AMZN,open,1495.36
177,2018-02-22,FB,open,178.7
178,2018-02-22,GOOG,open,1116.19
179,2018-02-22,NFLX,open,283.88
180,2018-02-23,AAPL,open,171.0651
181,2018-02-23,AMZN,open,1495.34
182,2018-02-23,FB,open,179.9
183,2018-02-23,GOOG,open,1112.64
184,2018-02-23,NFLX,open,281.0
185,2018-02-26,AAPL,open,173.7049
186,2018-02-26,AMZN,open,1509.2
187,2018-02-26,FB,open,184.58
188,2018-02-26,GOOG,open,1127.8
189,2018-02-26,NFLX,open,288.75
190,2018-02-27,AAPL,open,176.4137
191,2018-02-27,AMZN,open,1524.5
192,2018-02-27,FB,open,184.45
193,2018-02-27,GOOG,open,1141.24
194,2018-02-27,NFLX,open,294.77
195,2018-02-28,AAPL,open,176.5713
196,2018-02-28,AMZN,open,1519.51
197,2018-02-28,FB,open,182.3
198,2018-02-28,GOOG,open,1123.03
199,2018-02-28,NFLX,open,293.1
200,2018-03-01,AAPL,open,175.8621
201,2018-03-01,AMZN,open,1513.6
202,2018-03-01,FB,open,179.01
203,2018-03-01,GOOG,open,1107.87
204,2018-03-01,NFLX,open,292.75
205,2018-03-02,AAPL,open,170.2082
206,2018-03-02,AMZN,open,1469.1
207,2018-03-02,FB,open,173.29
208,2018-03-02,GOOG,open,1053.08
209,2018-03-02,NFLX,open,284.65
210,2018-03-05,AAPL,open,172.582
211,2018-03-05,AMZN,open,1494.24
212,2018-03-05,FB,open,176.2
213,2018-03-05,GOOG,open,1075.14
214,2018-03-05,NFLX,open,302.85
215,2018-03-06,AAPL,open,175.2415
216,2018-03-06,AMZN,open,1533.2
217,2018-03-06,FB,open,181.78
218,2018-03-06,GOOG,open,1099.22
219,2018-03-06,NFLX,open,319.88
220,2018-03-07,AAPL,open,172.3161
221,2018-03-07,AMZN,open,1526.52
222,2018-03-07,FB,open,178.74
223,2018-03-07,GOOG,open,1089.19
224,2018-03-07,NFLX,open,320.0
225,2018-03-08,AAPL,open,172.84799999999998
226,2018-03-08,AMZN,open,1550.0
227,2018-03-08,FB,open,183.56
228,2018-03-08,GOOG,open,1115.32
229,2018-03-08,NFLX,open,322.2
230,2018-03-09,AAPL,open,175.2908
231,2018-03-09,AMZN,open,1563.5
232,2018-03-09,FB,open,183.91
233,2018-03-09,GOOG,open,1136.0
234,2018-03-09,NFLX,open,321.33
235,2018-03-12,AAPL,open,177.5858
236,2018-03-12,AMZN,open,1592.6
237,2018-03-12,FB,open,185.23
238,2018-03-12,GOOG,open,1163.85
239,2018-03-12,NFLX,open,333.56
240,2018-03-13,AAPL,open,179.8513
241,2018-03-13,AMZN,open,1615.96
242,2018-03-13,FB,open,185.61
243,2018-03-13,GOOG,open,1170.0
244,2018-03-13,NFLX,open,323.87
245,2018-03-14,AAPL,open,177.6154
246,2018-03-14,AMZN,open,1597.0
247,2018-03-14,FB,open,182.6
248,2018-03-14,GOOG,open,1145.21
249,2018-03-14,NFLX,open,318.16
250,2018-03-15,AAPL,open,175.8227
251,2018-03-15,AMZN,open,1595.0
252,2018-03-15,FB,open,183.24
253,2018-03-15,GOOG,open,1149.96
254,2018-03-15,NFLX,open,323.17
255,2018-03-16,AAPL,open,175.9704
256,2018-03-16,AMZN,open,1583.45
257,2018-03-16,FB,open,184.49
258,2018-03-16,GOOG,open,1154.14
259,2018-03-16,NFLX,open,321.42
260,2018-03-19,AAPL,open,174.6604
261,2018-03-19,AMZN,open,1554.53
262,2018-03-19,FB,open,177.01
263,2018-03-19,GOOG,open,1120.01
264,2018-03-19,NFLX,open,315.8
265,2018-03-20,AAPL,open,172.6116
266,2018-03-20,AMZN,open,1550.34
267,2018-03-20,FB,open,167.47
268,2018-03-20,GOOG,open,1099.0
269,2018-03-20,NFLX,open,313.26
270,2018-03-21,AAPL,open,172.4146
271,2018-03-21,AMZN,open,1586.45
272,2018-03-21,FB,open,164.8
273,2018-03-21,GOOG,open,1092.74
274,2018-03-21,NFLX,open,316.35
275,2018-03-22,AAPL,open,167.4502
